date;indicator;value
2019-12;Southern region - Minimum - (GW);2.7
2019-12;Western region - Maximum - (GW);9.8
2009-01;Central region - Average - (GW);5.2
2009-01;Eastern region - Minimum (GW);6.2
2009-02;Eastern region - Average (GW);7.4
2009-02;Southern region - Maximum - (GW);2.3
2009-03;Central region - Minimum - (GW);3.8
2009-03;Eastern region - Maximum (GW);9.1
2009-03;Eastern region - Minimum (GW);6.7
2009-03;Southern region - Average - (GW);2.0
2009-03;Western region - Average - (GW);6.5
2009-04;Central region - Minimum - (GW);4.7
2009-04;Western region - Maximum - (GW);10.0
2009-05;Western region - Minimum - (GW);6.3
2009-06;Central region - Minimum - (GW);8.7
2009-07;Central region - Minimum - (GW);9.1
2009-07;Eastern region - Maximum (GW);13.1
2009-08;Southern region - Maximum - (GW);3.3
2009-08;Western region - Minimum - (GW);9.1
2009-09;Eastern region - Minimum (GW);9.7
2009-11;Eastern region - Average (GW);8.2
2009-11;Eastern region - Maximum (GW);9.9
2009-11;Southern region - Minimum - (GW);1.5
2009-11;Western region - Average - (GW);7.6
2009-12;Central region - Average - (GW);5.5
2009-12;Eastern region - Maximum (GW);8.5
2010-01;Southern region - Average - (GW);1.8
2010-01;Western region - Average - (GW);5.3
2010-02;Central region - Minimum - (GW);3.8
2010-02;Southern region - Average - (GW);1.9
2010-03;Central region - Average - (GW);5.8
2010-03;Central region - Maximum - (GW);7.9
2010-03;Eastern region - Average (GW);7.9
2010-03;Eastern region - Maximum (GW);9.1
2010-03;Eastern region - Minimum (GW);6.7
2010-03;Southern region - Average - (GW);2.0
2010-03;Southern region - Minimum - (GW);0.9
2010-03;Western region - Maximum - (GW);9.1
2010-04;Eastern region - Minimum (GW);7.1
2010-04;Southern region - Maximum - (GW);2.9
2010-05;Central region - Average - (GW);9.3
2010-05;Eastern region - Minimum (GW);8.2
2010-06;Southern region - Average - (GW);2.9
2010-07;Central region - Minimum - (GW);9.1
2010-07;Southern region - Minimum - (GW);1.9
2010-08;Central region - Maximum - (GW);13.4
2010-08;Southern region - Average - (GW);2.8
2010-08;Southern region - Minimum - (GW);2.0
2010-10;Central region - Minimum - (GW);5.3
2010-10;Eastern region - Average (GW);10.2
2010-10;Southern region - Maximum - (GW);2.9
2010-11;Central region - Maximum - (GW);7.9
2010-11;Southern region - Maximum - (GW);2.7
2010-11;Southern region - Minimum - (GW);1.5
2010-11;Western region - Maximum - (GW);9.7
2010-12;Central region - Minimum - (GW);4.1
2010-12;Western region - Maximum - (GW);7.6
2011-01;Central region - Average - (GW);5.9
2011-01;Central region - Minimum - (GW);8.3
2011-01;Eastern region - Maximum (GW);8.9
2011-01;Eastern region - Minimum (GW);6.7
2011-01;Western region - Maximum - (GW);7.0
2011-02;Eastern region - Maximum (GW);8.8
2011-02;Southern region - Maximum - (GW);2.6
2011-03;Central region - Minimum - (GW);7.5
2011-03;Western region - Maximum - (GW);7.8
2011-04;Central region - Average - (GW);7.1
2011-04;Eastern region - Maximum (GW);10.8
2011-05;Eastern region - Minimum (GW);8.6
2011-06;Eastern region - Minimum (GW);10.3
2011-06;Western region - Minimum - (GW);8.0
2011-07;Southern region - Average - (GW);3.1
2011-07;Southern region - Maximum - (GW);3.5
2011-08;Eastern region - Maximum (GW);14.0
2011-08;Southern region - Average - (GW);3.1
2011-08;Southern region - Minimum - (GW);2.4
2011-09;Western region - Maximum - (GW);12.3
2011-09;Western region - Minimum - (GW);7.8
2011-10;Eastern region - Maximum (GW);12.7
2011-10;Southern region - Maximum - (GW);3.3
2011-11;Southern region - Maximum - (GW);2.9
2011-11;Western region - Average - (GW);6.9
2011-11;Western region - Maximum - (GW);9.2
2011-11;Western region - Minimum - (GW);4.2
2011-12;Western region - Maximum - (GW);8.0
2011-12;Western region - Minimum - (GW);4.0
2012-01;Central region - Maximum - (GW);8.9
2012-01;Southern region - Maximum - (GW);2.7
2012-01;Western region - Minimum - (GW);3.2
2012-02;Eastern region - Maximum (GW);8.6
2012-02;Southern region - Minimum - (GW);1.6
2012-02;Western region - Average - (GW);6.2
2012-03;Eastern region - Maximum (GW);7.7
2012-03;Western region - Maximum - (GW);9.0
2012-04;Central region - Average - (GW);9.0
2012-04;Southern region - Maximum - (GW);3.4
2012-04;Southern region - Minimum - (GW);1.9
2012-05;Central region - Minimum - (GW);9.4
2012-05;Eastern region - Average (GW);11.7
2012-05;Southern region - Average - (GW);3.1
2012-06;Southern region - Average - (GW);3.3
2012-06;Southern region - Maximum - (GW);3.8
2012-07;Western region - Maximum - (GW);14.3
2012-08;Southern region - Minimum - (GW);2.7
2012-09;Central region - Average - (GW);11.7
2012-09;Southern region - Maximum - (GW);3.9
2012-09;Western region - Maximum - (GW);12.9
2012-10;Central region - Average - (GW);10.5
2012-10;Eastern region - Average (GW);8.9
2012-10;Southern region - Average - (GW);2.8
2012-11;Central region - Minimum - (GW);7.0
2012-11;Southern region - Average - (GW);2.6
2012-12;Central region - Minimum - (GW);6.9
2012-12;Eastern region - Maximum (GW);8.9
2013-01;Eastern region - Average (GW);8.2
2013-01;Southern region - Average - (GW);2.5
2013-01;Western region - Average - (GW);6.0
2013-01;Western region - Maximum - (GW);8.3
2013-03;Central region - Average - (GW);6.6
2013-03;Southern region - Average - (GW);2.7
2013-04;Eastern region - Average (GW);10.2
2013-06;Central region - Average - (GW);12.7
2013-06;Central region - Maximum - (GW);15.4
2013-06;Eastern region - Minimum (GW);10.9
2013-07;Western region - Maximum - (GW);14.6
2013-09;Central region - Average - (GW);12.9
2013-09;Eastern region - Average (GW);13.2
2013-09;Western region - Average - (GW);12.1
2013-10;Central region - Average - (GW);8.7
2013-10;Eastern region - Minimum (GW);8.8
2013-10;Western region - Average - (GW);10.6
2013-11;Central region - Maximum - (GW);9.7
2013-11;Central region - Minimum - (GW);4.8
2013-12;Central region - Maximum - (GW);10.5
2013-12;Eastern region - Minimum (GW);8.2
2013-12;Western region - Maximum - (GW);8.9
2013-12;Western region - Minimum - (GW);4.3
2014-01;Western region - Average - (GW);6.4
2014-02;Central region - Average - (GW);7.2
2014-02;Southern region - Maximum - (GW);3.3
2014-02;Western region - Average - (GW);6.8
2014-02;Western region - Maximum - (GW);8.6
2014-03;Eastern region - Maximum (GW);11.8
2014-03;Eastern region - Minimum (GW);9.1
2014-04;Central region - Minimum - (GW);5.5
2014-05;Eastern region - Average (GW);13.8
2014-06;Eastern region - Maximum (GW);16.5
2014-06;Southern region - Maximum - (GW);4.6
2014-06;Western region - Average - (GW);12.2
2014-07;Central region - Average - (GW);14.6
2014-07;Eastern region - Maximum (GW);17.1
2014-07;Eastern region - Minimum (GW);13.3
2014-07;Southern region - Maximum - (GW);4.7
2014-08;Eastern region - Average (GW);15.4
2014-08;Southern region - Average - (GW);4.0
2014-08;Southern region - Minimum - (GW);3.1
2014-09;Central region - Minimum - (GW);9.9
2014-09;Eastern region - Maximum (GW);17.0
2014-09;Western region - Maximum - (GW);15.1
2014-10;Southern region - Average - (GW);3.3
2014-11;Southern region - Average - (GW);3.0
2014-11;Southern region - Minimum - (GW);2.2
2014-11;Western region - Average - (GW);8.2
2014-12;Eastern region - Average (GW);10.6
2014-12;Southern region - Minimum - (GW);2.2
2015-01;Southern region - Maximum - (GW);3.5
2015-03;Eastern region - Minimum (GW);9.5
2015-03;Southern region - Minimum - (GW);2.3
2015-03;Western region - Maximum - (GW);11.9
2015-04;Eastern region - Maximum (GW);15.1
2015-05;Eastern region - Average (GW);14.6
2015-05;Eastern region - Minimum (GW);12.5
2015-05;Southern region - Average - (GW);3.9
2015-05;Western region - Maximum - (GW);14.3
2015-06;Southern region - Maximum - (GW);5.0
2015-07;Southern region - Average - (GW);4.4
2015-07;Southern region - Maximum - (GW);4.9
2015-07;Western region - Average - (GW);13.0
2015-07;Western region - Minimum - (GW);10.2
2015-08;Central region - Average - (GW);16.6
2015-08;Eastern region - Maximum (GW);18.7
2015-08;Western region - Maximum - (GW);17.0
2015-09;Central region - Minimum - (GW);10.3
2015-09;Western region - Maximum - (GW);16.7
2015-10;Central region - Minimum - (GW);8.4
2015-11;Central region - Average - (GW);7.9
2015-11;Southern region - Minimum - (GW);2.5
2015-12;Western region - Minimum - (GW);4.6
2016-01;Central region - Average - (GW);8.0
2016-01;Eastern region - Minimum (GW);8.8
2016-01;Western region - Average - (GW);6.7
2016-03;Central region - Average - (GW);8.0
2016-03;Central region - Maximum - (GW);12.3
2016-03;Southern region - Maximum - (GW);4.5
2016-04;Western region - Average - (GW);10.5
2016-05;Central region - Average - (GW);14.1
2016-05;Eastern region - Average (GW);15.2
2016-05;Eastern region - Minimum (GW);12.3
2016-05;Southern region - Maximum - (GW);5.1
2016-05;Southern region - Minimum - (GW);3.1
2016-06;Central region - Maximum - (GW);19.2
2016-06;Eastern region - Minimum (GW);11.8
2016-06;Southern region - Average - (GW);4.9
2016-07;Central region - Maximum - (GW);19.7
2016-07;Southern region - Average - (GW);4.9
2016-07;Western region - Maximum - (GW);15.5
2016-08;Central region - Average - (GW);16.8
2016-08;Central region - Maximum - (GW);19.5
2016-08;Eastern region - Average (GW);17.1
2016-09;Central region - Maximum - (GW);18.5
2016-09;Eastern region - Minimum (GW);13.5
2016-09;Southern region - Minimum - (GW);3.4
2016-10;Eastern region - Maximum (GW);15.0
2016-10;Southern region - Minimum - (GW);2.8
2016-12;Central region - Average - (GW);7.9
2016-12;Eastern region - Minimum (GW);10.3
2016-12;Western region - Average - (GW);7.6
2016-12;Western region - Maximum - (GW);10.2
2017-01;Central region - Average - (GW);8.1
2017-01;Eastern region - Maximum (GW);12.1
2017-01;Western region - Minimum - (GW);5.5
2017-02;Central region - Average - (GW);8.7
2017-02;Western region - Average - (GW);6.8
2017-03;Central region - Average - (GW);8.0
2017-03;Central region - Maximum - (GW);10.7
2017-03;Western region - Average - (GW);8.3
2017-04;Southern region - Minimum - (GW);2.8
2017-05;Southern region - Average - (GW);4.5
2017-06;Central region - Minimum - (GW);12.0
2017-06;Eastern region - Maximum (GW);18.3
2017-07;Southern region - Average - (GW);5.1
2017-07;Western region - Maximum - (GW);16.3
2017-07;Western region - Minimum - (GW);11.7
2017-08;Central region - Average - (GW);17.5
2017-08;Central region - Maximum - (GW);20.2
2017-09;Eastern region - Average (GW);16.7
2017-09;Eastern region - Maximum (GW);18.6
2017-09;Eastern region - Minimum (GW);14.3
2017-10;Western region - Average - (GW);11.9
2017-11;Western region - Average - (GW);9.6
2017-12;Southern region - Maximum - (GW);4.2
2018-01;Eastern region - Minimum (GW);9.8
2018-01;Southern region - Minimum - (GW);2.5
2018-02;Eastern region - Maximum (GW);12.4
2018-02;Western region - Minimum - (GW);5.5
2018-03;Central region - Maximum - (GW);12.9
2018-03;Eastern region - Minimum (GW);9.4
2018-03;Southern region - Maximum - (GW);4.6
2018-03;Western region - Minimum - (GW);6.0
2018-04;Western region - Average - (GW);10.1
2018-05;Western region - Maximum - (GW);15.4
2018-06;Central region - Average - (GW);16.1
2018-06;Eastern region - Minimum (GW);14.0
2018-06;Southern region - Average - (GW);5.0
2018-06;Western region - Minimum - (GW);11.3
2018-07;Eastern region - Maximum (GW);18.8
2018-07;Southern region - Average - (GW);5.1
2018-07;Western region - Average - (GW);13.3
2018-07;Western region - Maximum - (GW);15.2
2018-08;Eastern region - Minimum (GW);15.7
2018-09;Eastern region - Maximum (GW);18.6
2018-10;Central region - Average - (GW);12.2
2018-10;Western region - Maximum - (GW);14.3
2018-11;Eastern region - Average (GW);12.4
2018-11;Western region - Maximum - (GW);9.6
2018-12;Central region - Average - (GW);8.4
2018-12;Central region - Maximum - (GW);11.6
2018-12;Western region - Maximum - (GW);9.4
2019-01;Eastern region - Average (GW);11.6
2019-01;Eastern region - Maximum (GW);12.7
2019-01;Eastern region - Minimum (GW);10.6
2019-01;Western region - Average - (GW);7.0
2019-01;Western region - Minimum - (GW);4.7
2019-02;Eastern region - Average (GW);11.4
2019-02;Eastern region - Maximum (GW);12.4
2019-02;Southern region - Average - (GW);3.4
2019-03;Central region - Maximum - (GW);10.5
2019-03;Eastern region - Minimum (GW);10.4
2019-03;Western region - Average - (GW);7.2
2019-04;Southern region - Average - (GW);4.2
2019-04;Southern region - Minimum - (GW);3.1
2019-05;Central region - Minimum - (GW);9.3
2019-05;Eastern region - Maximum (GW);17.2
2019-05;Southern region - Minimum - (GW);3.5
2019-05;Western region - Maximum - (GW);15.3
2019-06;Western region - Minimum - (GW);11.6
2019-07;Central region - Average - (GW);17.0
2019-07;Eastern region - Minimum (GW);14.6
2019-07;Southern region - Minimum - (GW);4.3
2019-08;Central region - Average - (GW);16.4
2019-08;Eastern region - Maximum (GW);18.6
2019-08;Southern region - Maximum - (GW);5.6
2019-09;Central region - Average - (GW);16.3
2019-09;Central region - Maximum - (GW);20.2
2019-09;Eastern region - Minimum (GW);14.1
2019-10;Central region - Average - (GW);13.2
2019-10;Eastern region - Maximum (GW);14.7
2019-10;Western region - Average - (GW);11.8
2019-10;Western region - Maximum - (GW);14.3
2019-10;Western region - Minimum - (GW);8.4
2019-11;Central region - Maximum - (GW);12.2
2019-11;Eastern region - Average (GW);12.4
2019-11;Eastern region - Maximum (GW);14.7
2019-11;Eastern region - Minimum (GW);10.6
2019-12;Eastern region - Maximum (GW);12.5
