date;indicator;value
2013-07;Eastern region - Maximum (GW);15.3
2013-08;Central region - Minimum - (GW);9.9
2013-08;Eastern region - Maximum (GW);14.9
2013-09;Central region - Maximum - (GW);16.5
2013-09;Eastern region - Minimum (GW);10.4
2013-09;Western region - Minimum - (GW);9.5
2013-10;Western region - Minimum - (GW);7.3
2013-11;Eastern region - Maximum (GW);11.8
2013-11;Southern region - Maximum - (GW);3.5
2013-12;Central region - Average - (GW);7.3
2013-12;Eastern region - Average (GW);9.3
2013-12;Eastern region - Maximum (GW);10.8
2013-12;Southern region - Average - (GW);2.7
2013-12;Western region - Average - (GW);6.6
2014-01;Central region - Maximum - (GW);10.4
2014-01;Central region - Minimum - (GW);5.3
2014-02;Eastern region - Maximum (GW);11.2
2014-04;Central region - Average - (GW);10.0
2014-04;Western region - Maximum - (GW);13.1
2014-05;Central region - Minimum - (GW);8.5
2014-05;Eastern region - Maximum (GW);16.2
2014-05;Southern region - Maximum - (GW);4.4
2014-05;Western region - Average - (GW);11.0
2014-06;Central region - Average - (GW);14.0
2014-06;Eastern region - Average (GW);14.7
2014-06;Eastern region - Minimum (GW);12.6
2014-06;Southern region - Average - (GW);4.0
2014-06;Southern region - Minimum - (GW);3.1
2014-06;Western region - Maximum - (GW);15.1
2014-07;Central region - Maximum - (GW);17.4
2014-07;Western region - Minimum - (GW);10.6
2014-08;Central region - Maximum - (GW);17.8
2014-08;Central region - Minimum - (GW);11.7
2014-08;Western region - Average - (GW);12.9
2014-08;Western region - Minimum - (GW);10.5
2014-09;Central region - Average - (GW);13.9
2014-09;Central region - Maximum - (GW);17.6
2014-09;Southern region - Minimum - (GW);2.8
2014-10;Central region - Minimum - (GW);7.4
2014-10;Eastern region - Maximum (GW);15.3
2014-10;Eastern region - Minimum (GW);11.1
2014-10;Western region - Minimum - (GW);8.0
2014-11;Eastern region - Maximum (GW);13.6
2014-12;Central region - Maximum - (GW);9.3
2014-12;Southern region - Maximum - (GW);3.6
2014-12;Western region - Average - (GW);7.7
2014-12;Western region - Maximum - (GW);9.6
2015-01;Central region - Average - (GW);7.8
2015-01;Eastern region - Average (GW);10.6
2015-01;Eastern region - Minimum (GW);9.5
2015-01;Southern region - Average - (GW);2.8
2015-01;Southern region - Minimum - (GW);2.1
2015-01;Western region - Maximum - (GW);8.8
2015-01;Western region - Minimum - (GW);4.4
2015-02;Central region - Average - (GW);7.2
2015-02;Eastern region - Average (GW);10.6
2015-02;Southern region - Maximum - (GW);3.6
2015-02;Southern region - Minimum - (GW);2.4
2015-03;Central region - Average - (GW);7.5
2015-03;Southern region - Maximum - (GW);4.0
2015-05;Southern region - Maximum - (GW);4.6
2015-05;Southern region - Minimum - (GW);2.9
2015-06;Central region - Maximum - (GW);18.3
2015-06;Southern region - Minimum - (GW);3.1
2015-06;Western region - Minimum - (GW);10.3
2015-08;Western region - Minimum - (GW);11.1
2015-09;Southern region - Average - (GW);4.2
2015-09;Southern region - Minimum - (GW);3.2
2015-10;Eastern region - Minimum (GW);11.9
2015-10;Southern region - Minimum - (GW);2.7
2015-11;Central region - Maximum - (GW);11.3
2015-11;Central region - Minimum - (GW);5.4
2015-11;Western region - Average - (GW);9.3
2015-12;Eastern region - Average (GW);13.4
2015-12;Southern region - Average - (GW);3.1
2015-12;Southern region - Minimum - (GW);2.3
2015-12;Western region - Average - (GW);6.9
2015-12;Western region - Maximum - (GW);10.7
2016-01;Eastern region - Average (GW);11.0
2016-01;Southern region - Average - (GW);3.0
2016-01;Western region - Minimum - (GW);4.4
2016-02;Central region - Average - (GW);7.8
2016-02;Eastern region - Minimum (GW);10.1
2016-02;Western region - Average - (GW);7.2
2016-03;Southern region - Average - (GW);3.8
2016-03;Western region - Minimum - (GW);6.6
2016-04;Eastern region - Average (GW);12.6
2016-04;Southern region - Average - (GW);3.7
2016-04;Southern region - Maximum - (GW);4.5
2016-05;Central region - Maximum - (GW);17.5
2016-06;Central region - Average - (GW);16.0
2016-06;Central region - Minimum - (GW);12.3
2016-07;Central region - Minimum - (GW);11.8
2016-07;Eastern region - Average (GW);16.7
2016-07;Southern region - Maximum - (GW);5.8
2016-08;Western region - Average - (GW);13.9
2016-09;Central region - Average - (GW);14.7
2016-09;Western region - Minimum - (GW);10.2
2016-10;Central region - Minimum - (GW);7.6
2016-10;Southern region - Average - (GW);3.9
2016-10;Southern region - Maximum - (GW);4.9
2016-10;Western region - Average - (GW);11.5
2016-10;Western region - Maximum - (GW);14.3
2016-10;Western region - Minimum - (GW);8.8
2016-11;Central region - Maximum - (GW);11.5
2016-11;Central region - Minimum - (GW);5.5
2016-11;Eastern region - Average (GW);12.1
2016-11;Southern region - Minimum - (GW);2.4
2016-11;Western region - Minimum - (GW);6.5
2016-12;Central region - Minimum - (GW);5.6
2017-01;Eastern region - Average (GW);10.9
2017-01;Southern region - Minimum - (GW);2.5
2017-02;Eastern region - Minimum (GW);9.3
2017-03;Eastern region - Average (GW);11.0
2017-03;Southern region - Maximum - (GW);4.6
2017-03;Western region - Maximum - (GW);10.8
2017-03;Western region - Minimum - (GW);6.2
2017-04;Eastern region - Minimum (GW);10.5
2017-05;Central region - Average - (GW);15.3
2017-05;Central region - Minimum - (GW);10.6
2017-05;Eastern region - Average (GW);15.0
2017-05;Southern region - Maximum - (GW);5.4
2017-05;Western region - Minimum - (GW);9.6
2017-06;Eastern region - Minimum (GW);14.0
2017-06;Southern region - Minimum - (GW);4.0
2017-06;Western region - Average - (GW);14.1
2017-07;Southern region - Minimum - (GW);4.0
2017-08;Central region - Minimum - (GW);13.9
2017-08;Eastern region - Average (GW);17.5
2017-08;Eastern region - Maximum (GW);18.9
2017-08;Southern region - Maximum - (GW);5.6
2017-08;Western region - Minimum - (GW);12.7
2017-09;Southern region - Average - (GW);4.7
2017-11;Central region - Average - (GW);8.5
2017-11;Southern region - Maximum - (GW);4.4
2017-11;Western region - Minimum - (GW);6.1
2017-12;Southern region - Minimum - (GW);2.1
2018-01;Central region - Maximum - (GW);10.8
2018-02;Eastern region - Average (GW);10.9
2018-02;Western region - Maximum - (GW);9.4
2018-03;Eastern region - Average (GW);11.0
2018-03;Southern region - Minimum - (GW);2.6
2018-04;Western region - Maximum - (GW);13.0
2018-05;Central region - Minimum - (GW);9.6
2018-05;Southern region - Minimum - (GW);3.1
2018-05;Western region - Average - (GW);12.5
2018-05;Western region - Minimum - (GW);8.7
2018-06;Western region - Maximum - (GW);15.2
2018-07;Central region - Average - (GW);17.9
2018-08;Southern region - Maximum - (GW);5.6
2018-09;Southern region - Maximum - (GW);5.4
2018-10;Eastern region - Maximum (GW);17.0
2018-10;Eastern region - Minimum (GW);12.7
2018-11;Central region - Average - (GW);8.5
2018-12;Central region - Minimum - (GW);6.2
2018-12;Eastern region - Average (GW);11.1
2018-12;Western region - Average - (GW);7.1
2019-01;Southern region - Maximum - (GW);4.0
2019-02;Southern region - Maximum - (GW);4.2
2019-03;Central region - Average - (GW);8.0
2019-04;Central region - Maximum - (GW);12.3
2019-04;Central region - Minimum - (GW);6.6
2019-04;Eastern region - Maximum (GW);14.3
2019-04;Southern region - Maximum - (GW);5.0
2019-04;Western region - Maximum - (GW);12.4
2019-05;Eastern region - Average (GW);14.9
2019-05;Eastern region - Minimum (GW);12.6
2019-06;Central region - Minimum - (GW);12.4
2019-06;Western region - Average - (GW);13.7
2019-07;Central region - Maximum - (GW);19.6
2019-07;Southern region - Maximum - (GW);5.8
2019-08;Eastern region - Minimum (GW);14.1
2019-08;Southern region - Minimum - (GW);3.5
2019-08;Western region - Average - (GW);14.2
2019-08;Western region - Minimum - (GW);10.8
2019-09;Southern region - Average - (GW);4.9
2019-10;Eastern region - Average (GW);15.2
2019-10;Southern region - Maximum - (GW);5.1
2019-11;Central region - Minimum - (GW);6.1
2019-11;Southern region - Minimum - (GW);2.8
2019-11;Western region - Average - (GW);9.5
2019-11;Western region - Minimum - (GW);7.0
2009-01;Central region - Minimum - (GW);3.9
2009-01;Eastern region - Maximum (GW);8.2
2009-01;Southern region - Maximum - (GW);2.4
2009-02;Eastern region - Minimum (GW);6.5
2009-02;Southern region - Average - (GW);1.9
2009-02;Western region - Average - (GW);5.8
2009-03;Eastern region - Average (GW);7.9
2009-03;Western region - Minimum - (GW);3.6
2009-04;Central region - Average - (GW);7.0
2009-04;Eastern region - Average (GW);8.9
2009-04;Eastern region - Maximum (GW);10.1
2009-05;Western region - Average - (GW);9.1
2009-05;Western region - Maximum - (GW);11.8
2009-06;Central region - Average - (GW);11.4
2009-06;Eastern region - Average (GW);11.5
2009-06;Eastern region - Minimum (GW);9.8
2009-06;Southern region - Average - (GW);2.9
2009-06;Western region - Maximum - (GW);12.5
2009-07;Southern region - Minimum - (GW);1.9
2009-07;Western region - Maximum - (GW);12.3
2009-08;Southern region - Minimum - (GW);2.0
2009-09;Central region - Average - (GW);10.0
2009-09;Southern region - Average - (GW);2.7
2009-10;Central region - Average - (GW);8.1
2009-10;Central region - Maximum - (GW);10.8
2009-10;Eastern region - Maximum (GW);11.9
2009-10;Southern region - Minimum - (GW);1.6
2009-11;Southern region - Average - (GW);2.1
2009-11;Western region - Minimum - (GW);4.7
2009-12;Southern region - Maximum - (GW);2.6
2009-12;Western region - Average - (GW);5.9
2009-12;Western region - Maximum - (GW);7.6
2009-12;Western region - Minimum - (GW);3.4
2010-01;Western region - Maximum - (GW);7.0
2010-02;Southern region - Minimum - (GW);1.4
2010-02;Western region - Maximum - (GW);7.5
2010-03;Central region - Minimum - (GW);3.8
2010-03;Western region - Minimum - (GW);3.6
2010-04;Central region - Average - (GW);7.0
2010-04;Western region - Maximum - (GW);10.0
2010-04;Western region - Minimum - (GW);5.2
2010-05;Central region - Maximum - (GW);12.6
2010-05;Central region - Minimum - (GW);5.3
2010-05;Eastern region - Maximum (GW);11.8
2010-05;Southern region - Minimum - (GW);1.9
2010-06;Eastern region - Maximum (GW);12.8
2010-06;Southern region - Minimum - (GW);2.2
2010-06;Western region - Average - (GW);10.4
2010-06;Western region - Minimum - (GW);8.3
2010-07;Central region - Average - (GW);11.2
2010-07;Eastern region - Minimum (GW);10.1
2010-07;Western region - Maximum - (GW);12.3
2010-07;Western region - Minimum - (GW);8.7
2010-08;Eastern region - Minimum (GW);10.8
2010-09;Southern region - Maximum - (GW);3.3
2010-09;Western region - Average - (GW);10.2
2010-09;Western region - Maximum - (GW);12.3
2010-10;Southern region - Average - (GW);2.3
2010-10;Western region - Average - (GW);9.2
2010-12;Southern region - Maximum - (GW);2.6
2010-12;Western region - Average - (GW);5.9
