ambient_temp_C,mdot,TIT_C,T3_C,regime,T_hp_req_C,q_cycle_MW,q_shed_MW,net_MWe,plant_efficiency,cycle_efficiency,net_MWe_frac_vs25C
25.0,54.369882827152196,741.9999980458019,467.48454345824405,B,759.9999980046047,14.999999965668781,0.0,4.999711555396508,0.33331410369310055,0.3333141044559725,1.0
26.0,54.278932808928175,744.0488483558223,469.07341447229294,B,762.029915850526,14.99999996536931,0.0,4.992336575024896,0.3328224383349931,0.33282243910338444,0.998524918829837
27.0,54.18843769295736,746.095069264062,470.6604242546915,B,764.0572569922748,14.999999965069957,0.0,4.984969634982191,0.33233130899881275,0.33233130977270253,0.9970514458182282
28.0,54.09839369972007,748.1386731653307,472.2455813644998,B,766.0820335623379,14.999999964770733,0.0,4.977610707893402,0.33184071385956015,0.3318407146389271,0.9955795754898598
29.0,54.00879709351361,750.1796723549722,473.828894293128,B,768.1042575956479,14.99999996447164,0.0,4.970259766529608,0.33135065110197387,0.3313506518867969,0.9941093023986333
30.0,53.91964418180128,752.2180790299877,475.41037146509177,B,770.1239410306874,14.999999964172687,0.0,4.96291678380699,0.330861118920466,0.33086111971072363,0.9926406211274722
31.0,53.83093131457325,754.2539052901458,476.99002123876005,B,772.141095710581,14.999999963873854,0.0,4.955581732785946,0.3303721155190631,0.3303721163147345,0.9911735262881456
32.0,53.74265488371882,756.2871631390741,478.5678519070874,B,774.15573338417,14.99999996357518,0.0,4.948254586670218,0.3298836391113478,0.3298836399124113,0.9897080125210924
33.0,53.654811322410154,758.3178644853348,480.1438716983399,B,776.1678657070696,14.999999963276629,0.0,4.940935318805921,0.3293956879203947,0.3293956887268294,0.9882440744952284
34.0,53.567397104496884,760.3460211434873,481.7180887768085,B,778.1775042427147,14.999999962978237,0.0,4.933623902680742,0.3289082601787161,0.32890826099050036,0.9867817069077848
35.0,53.480408743911624,762.3716448351337,483.29051124351406,B,780.184660463388,14.99999996267999,0.0,4.926320311922956,0.3284213541281971,0.32842135494530966,0.9853209044841126
36.0,53.39384279408606,764.3947471899475,484.8611471368987,B,782.1893457512316,14.9999999623819,0.0,4.919024520300609,0.32793496802004063,0.32793496884246,0.9838616619775179
37.0,53.307695847377374,766.4153397466927,486.43000443351286,B,784.1915713992506,14.999999962083958,0.0,4.911736501720594,0.3274491001147063,0.3274491009424112,0.9824039741690785
38.0,53.221964534504835,768.4334339542223,487.9970910486867,B,786.1913486122934,14.999999961786175,0.0,4.904456230227768,0.3269637486818512,0.32696374951482027,0.9809478358674663
39.0,53.13664552399632,770.4490411724684,489.56241483719725,B,788.1886885080256,14.999999961488552,0.0,4.897183680004118,0.3264789120002745,0.32647891283848623,0.9794932419087807
40.0,53.051735521644574,772.4621726734136,491.1259835939228,B,790.1836021178875,14.999999961191099,0.0,4.889918825367846,0.3259945883578564,0.32599458920128915,0.9780401871563659
41.0,52.96723126997297,774.4728396420504,492.68780505448854,B,792.1761003880339,14.999999960893804,0.0,4.882661640772513,0.32551077605150086,0.3255107769001334,0.9765886665006394
42.0,52.88312954771064,776.4810531773302,494.2478868959066,B,794.1661941802703,14.999999960596684,0.0,4.875412100806208,0.3250274733870805,0.3250274742408912,0.9751386748589255
43.0,52.7994271692767,778.4868242930924,495.8062367372014,B,796.1538942729647,14.999999960299736,0.0,4.868170180190637,0.3245446786793758,0.3245446795383431,0.9736902071752739
44.0,52.71612098427347,780.4901639189865,497.3628621400313,B,798.1392113619553,14.999999960002954,0.0,4.860935853780289,0.3240623902520193,0.3240623911161218,0.9722432584202924
45.0,52.63320787698842,782.3713131790722,498.83638219608827,A,799.9999999944422,14.997969727629032,0.0020302676424144295,4.852359908524863,0.3234906605683242,0.32353445143884507,0.9705279704160936
46.0,52.55068476590475,782.4278201687895,499.0698072063627,A,799.9999999977587,14.965110903157045,0.03488909493420955,4.823300746931175,0.32155338312874504,0.3223030405951519,0.9647158027996793
47.0,52.46854860322032,782.4840268533347,499.30276086796346,A,799.9999999932612,14.932400567964288,0.06759942629068938,4.794340942540235,0.31962272950268233,0.3210696713310739,0.9589235077702426
48.0,52.38679637437493,782.5399356523673,499.53524632918345,A,799.9999999902258,14.899837577729702,0.10016241392933267,4.765479790161171,0.31769865267741143,0.3198343448578243,0.9531509442814725
49.0,52.30542509758556,782.5955489589152,499.76726670676373,A,799.9999999975577,14.867420800482787,0.13257919743091406,4.736716591879994,0.31578110612533294,0.31859706235840046,0.9473979727425182
50.0,52.2244318233896,782.6508691061018,499.99882506343704,A,799.999999989492,14.8351491158671,0.16485087514761787,4.708050656585722,0.3138700437723815,0.3173578249746188,0.9416644549232089
51.0,52.14381363419581,782.7058984566862,500.2299244689526,A,799.9999999965345,14.803021416473094,0.19697858056043493,4.679481300872366,0.31196542005815775,0.3161166338423957,0.9359502541344616
52.0,52.06356764384289,782.7606392817546,500.4605679177713,A,799.99999998141,14.77103660562702,0.22896337844479575,4.6510078475838075,0.3100671898389205,0.314873490044159,0.930255234937239
53.0,51.98369099716549,782.8150939073745,500.69075842891993,A,799.9999999882408,14.739193599684096,0.2608063902300426,4.6226296273542085,0.3081753084902806,0.3136283946669433,0.9245792634506503
54.0,51.904180869567554,782.8692645701041,500.92049894791217,A,799.9999999948785,14.707491325439586,0.29250867016335746,4.594345976900639,0.30628973179337593,0.31238134874530143,0.9189222070104561
55.0,51.825034466602766,782.9231534731613,501.1497923850801,A,799.9999999698417,14.675928720911113,0.3240712531706116,4.566156239557854,0.3044104159705236,0.31113235328349137,0.9132839342760304
