ambient_temp_C,frac_min,frac_max,eta_min,eta_max
25.0,1.0,1.0,0.33333333272826976,0.33333333313451385
26.0,0.9916432210984946,0.994167564685634,0.3318606356699709,0.3321671007514074
27.0,0.9833421262143238,0.9883573662563625,0.3303861233230883,0.3309993030597334
28.0,0.9750961606337164,0.9825692314826666,0.3289097927369353,0.3298299367764834
29.0,0.966904776986458,0.976802989086064,0.3274316405462976,0.32865899873912346
30.0,0.958767435124766,0.9710584697105985,0.325951663377651,0.32748648577661243
31.0,0.9506836020045605,0.9653355058948384,0.3244698578491356,0.3263123947093734
32.0,0.9426527515690704,0.9596339320443721,0.3229862205705317,0.3251367223492647
33.0,0.9346743646347088,0.9539535844047968,0.32150074814323093,0.32395946549955107
34.0,0.9267479287791984,0.9482943010351826,0.32001343716021385,0.322780620954875
35.0,0.9188729382318523,0.9426559217820081,0.31852428420602075,0.3216001855012271
36.0,0.9110488937660023,0.937038288253553,0.3170332858567273,0.32041815591591744
37.0,0.9032753025935008,0.9314412437947428,0.31554043867991866,0.3192345289675456
38.0,0.8955516782612528,0.9258646334624331,0.31404573923466106,0.31804930141597265
39.0,0.8878775405497463,0.9203083040011196,0.3125491840714775,0.3168624700122891
40.0,0.88025241537352,0.9147721038190811,0.31105076973232015,0.31567403149878787
41.0,0.872675834683534,0.9092558829649249,0.30955049275054414,0.31448398260893184
42.0,0.8651473363714004,0.9037594931045473,0.3080483496508805,0.3132923200673272
43.0,0.857666464175427,0.8982827874984816,0.30654433694940925,0.31209904058969
44.0,0.8502327675884462,0.8928256209796416,0.3050384511535328,0.31090414088281837
45.0,0.8428458017673749,0.8873878499314433,0.3035306887619492,0.30970761764456106
46.0,0.8355051274444769,0.8819693322662966,0.302021046264624,0.30850946756378667
47.0,0.8282103108402918,0.8765699274044758,0.30050952014276416,0.30730968732035563
48.0,0.8209609235781842,0.871189496253327,0.2989961068687893,0.30610827358508597
49.0,0.8137565426004915,0.8658279011868452,0.29748080290630635,0.30490522301972467
50.0,0.8065967500862229,0.8604850060255868,0.29596360471007976,0.3037005322769166
51.0,0.799481133370283,0.855160676016921,0.29444450872600497,0.3024941980001726
52.0,0.7924092848641918,0.8498547778156138,0.29292351139108147,0.3012862168238398
53.0,0.7853808019782511,0.8445671794647311,0.29140060913338284,0.30007658537306897
54.0,0.7783952870451499,0.8392977503768634,0.2898757983720301,0.2988653002637829
55.0,0.7714523472449658,0.8340463613156618,0.28834907551716477,0.29765235810264623
