ambient_temp_C,mdot,TIT_C,T3_C,regime,T_hp_req_C,q_cycle_MW,q_shed_MW,net_MWe,plant_efficiency,cycle_efficiency,net_MWe_frac_vs25C
25.0,54.369882827152196,741.9999980458019,467.48454345824405,B,759.9999980046047,14.999999965668781,0.0,4.999711555396508,0.33331410369310055,0.3333141044559725,1.0
26.0,54.278932808928175,744.0488483558223,469.07341447229294,B,762.0431622819812,14.99999996536931,0.0,4.992336575024896,0.3328224383349931,0.33282243910338444,0.998524918829837
27.0,54.18843769295736,746.095069264062,470.6604242546915,B,764.0836984157187,14.999999965069957,0.0,4.984969634982191,0.33233130899881275,0.33233130977270253,0.9970514458182282
28.0,54.09839369972007,748.1386731653307,472.2455813644998,B,766.1216188526245,14.999999964770733,0.0,4.977610707893402,0.33184071385956015,0.3318407146389271,0.9955795754898598
29.0,54.00879709351361,750.1796723549722,473.828894293128,B,768.1569359391775,14.99999996447164,0.0,4.970259766529608,0.33135065110197387,0.3313506518867969,0.9941093023986333
30.0,53.91964418180128,752.2180790299877,475.41037146509177,B,770.1896619226656,14.999999964172687,0.0,4.96291678380699,0.330861118920466,0.33086111971072363,0.9926406211274722
31.0,53.83093131457325,754.2539052901458,476.99002123876005,B,772.2198089523102,14.999999963873854,0.0,4.955581732785946,0.3303721155190631,0.3303721163147345,0.9911735262881456
32.0,53.74265488371882,756.2871631390741,478.5678519070874,B,774.2473890803718,14.99999996357518,0.0,4.948254586670218,0.3298836391113478,0.3298836399124113,0.9897080125210924
33.0,53.654811322410154,758.3178644853348,480.1438716983399,B,776.2724142632372,14.999999963276629,0.0,4.940935318805921,0.3293956879203947,0.3293956887268294,0.9882440744952284
34.0,53.567397104496884,760.3460211434873,481.7180887768085,B,778.2948963624984,14.999999962978237,0.0,4.933623902680742,0.3289082601787161,0.32890826099050036,0.9867817069077848
35.0,53.480408743911624,762.3716448351337,483.29051124351406,B,780.3148471460089,14.99999996267999,0.0,4.926320311922956,0.3284213541281971,0.32842135494530966,0.9853209044841126
36.0,53.39384279408606,764.3947471899475,484.8611471368987,B,782.332278288926,14.9999999623819,0.0,4.919024520300609,0.32793496802004063,0.32793496884246,0.9838616619775179
37.0,53.307695847377374,766.4153397466927,486.43000443351286,B,784.3472013747429,14.999999962083958,0.0,4.911736501720594,0.3274491001147063,0.3274491009424112,0.9824039741690785
38.0,53.221964534504835,768.4334339542223,487.9970910486867,B,786.3596278962983,14.999999961786175,0.0,4.904456230227768,0.3269637486818512,0.32696374951482027,0.9809478358674663
39.0,53.13664552399632,770.4490411724684,489.56241483719725,B,788.3695692567795,14.999999961488552,0.0,4.897183680004118,0.3264789120002745,0.32647891283848623,0.9794932419087807
40.0,53.051735521644574,772.4621726734136,491.1259835939228,B,790.3770367707067,14.999999961191099,0.0,4.889918825367846,0.3259945883578564,0.32599458920128915,0.9780401871563659
41.0,52.96723126997297,774.4728396420504,492.68780505448854,B,792.3820416649015,14.999999960893804,0.0,4.882661640772513,0.32551077605150086,0.3255107769001334,0.9765886665006394
42.0,52.88312954771064,776.4810531773302,494.2478868959066,B,794.3845950794495,14.999999960596684,0.0,4.875412100806208,0.3250274733870805,0.3250274742408912,0.9751386748589255
43.0,52.7994271692767,778.4868242930924,495.8062367372014,B,796.3847080686397,14.999999960299736,0.0,4.868170180190637,0.3245446786793758,0.3245446795383431,0.9736902071752739
44.0,52.71612098427347,780.4901639189865,497.3628621400313,B,798.3823916018983,14.999999960002954,0.0,4.860935853780289,0.3240623902520193,0.3240623911161218,0.9722432584202924
45.0,52.63320787698842,782.1209087116482,498.6662221433462,A,799.999999979225,14.993725089065316,0.006274893512195234,4.849539139591872,0.3233026093061248,0.3234379122456076,0.9699637840821947
46.0,52.55068476590475,782.1659505252568,498.89184285133183,A,799.9999999675721,14.960679576388964,0.03932039640768892,4.820355449656994,0.3213570299771329,0.32220163696738136,0.9641267093606782
47.0,52.46854860322032,782.2107857434081,499.1170547895405,A,799.9999999938035,14.92778476772908,0.07221522707118488,4.7912725516087376,0.31941817010724916,0.3209633998720642,0.9583097941794685
48.0,52.38679637437493,782.255415843486,499.34186048585195,A,799.9999999904779,14.89503949015118,0.10496050185581396,4.762289722107626,0.3174859814738417,0.31972320216113037,0.9525128938623235
49.0,52.30542509758556,782.2998423589617,499.5662624924804,A,799.9999999638454,14.862442584699851,0.1375573849417755,4.733406246156043,0.31556041641040283,0.3184810450355482,0.94673586540147
50.0,52.2244318233896,782.3440668755085,499.79026338351775,A,799.9999999896494,14.829992906141426,0.17000708516442486,4.704621416944,0.31364142779626664,0.3172369296950717,0.9409785674267551
51.0,52.14381363419581,782.3880908197854,500.0138656115238,A,799.9999999974599,14.797689319231825,0.2023106786340172,4.675934533383303,0.3117289688922202,0.31599085725541093,0.9352408597124504
52.0,52.06356764384289,782.4319156654498,500.2370716477202,A,799.9999999806065,14.765530702012057,0.234469281688094,4.64734490231444,0.3098229934876294,0.31474282882911614,0.9295226036186556
53.0,51.98369099716549,782.4755429255584,500.4598839769993,A,799.999999988204,14.733515945499624,0.26648404458295083,4.618851838317294,0.3079234558878196,0.31349284552327983,0.9238236620534384
54.0,51.904180869567554,782.5189740257937,500.6823050118919,A,799.9999999956439,14.701643951394871,0.2983560449415812,4.5904546622004085,0.3060303108133606,0.31224090838935553,0.9181438991706707
55.0,51.825034466602766,782.5622103662278,500.90433713470645,A,799.9999999673929,14.66991363295369,0.330086339614839,4.562152701596169,0.3041435134397446,0.3109870184476069,0.9124831804890716
