ambient_temp_C,net_MWe,net_efficiency,heat_rejection_capacity_frac,mdot_frac,w_net_kJkg,q_cycle_MW,TIT_C,net_MWe_frac_vs25C,carnot_eta,curzon_ahlborn_eta
25.0,4.999999996675912,0.3333333331117275,1.0,1.0,98.89037783596808,15.0,742.0498945105475,1.0,0.7063139962758316,0.4580719570605629
26.0,4.968824213306187,0.33202039031362,0.9976945911088436,0.9983271985611379,98.43844881502238,14.965418866632655,742.0498945105475,0.9937648433219096,0.7053289685927051,0.45716390005150276
27.0,4.937766328627351,0.33070578146583446,0.9953996584196351,0.9966627639281167,97.9865197940768,14.930994876294527,742.0498945105475,0.9875532663820129,0.7043439409095786,0.45625735950688817
28.0,4.906825426285368,0.32938950339517403,0.9931151166442542,0.9950066265859866,97.53459077313119,14.896726749663813,742.0498945105475,0.9813650859095023,0.7033589132264522,0.4553523278544671
29.0,4.876000600235736,0.3280715529203787,0.9908408814746412,0.9933587178257028,97.08266175218554,14.862613222119618,742.0498945105475,0.9752001206954773,0.7023738855433256,0.4544487975847964
30.0,4.8452909545929215,0.3267519268520992,0.9885768695683096,0.9917189697321536,96.6307327312399,14.828653043524644,742.0498945105475,0.9690581915628311,0.7013888578601991,0.45354676125051574
31.0,4.814695603482477,0.32543062199287187,0.9863229985341158,0.9900873151724028,96.17880371029432,14.794844978011737,742.0498945105475,0.9629391213366741,0.7004038301770725,0.45264621146563033
32.0,4.784213670895794,0.32410763513709206,0.9840791869182908,0.988463687784147,95.72687468934868,14.761187803774362,742.0498945105475,0.9568427348152847,0.6994188024939461,0.4517471409048066
33.0,4.753844290547468,0.3227829630709884,0.9818453541907192,0.9868480219643782,95.27494566840303,14.727680312860787,742.0498945105475,0.9507688587415813,0.6984337748108196,0.45084954230267604
34.0,4.723586605735154,0.3214566025725976,0.9796214207314617,0.9852402528582506,94.8230166474574,14.694321310971926,742.0498945105475,0.9447173217750954,0.6974487471276931,0.44995340845315024
35.0,4.693439769201928,0.3201285504117369,0.9774073078175226,0.9836403163481462,94.37108762651175,14.66110961726284,742.0498945105475,0.9386879544644418,0.6964637194445665,0.4490587322087467
36.0,4.663402943001047,0.3187988033499794,0.9752029376098449,0.9820481490429348,93.91915860556611,14.628044064147673,742.0498945105475,0.9326805892202717,0.6954786917614401,0.4481655064799229
37.0,4.633475298363108,0.3174673581406266,0.9730082331405434,0.980463688267425,93.46722958462053,14.595123497108151,742.0498945105475,0.9266950602887047,0.6944936640783135,0.44727372423442135
38.0,4.603656015565496,0.31613421152868176,0.970823118300358,0.9788868720520013,93.01530056367488,14.56234677450537,742.0498945105475,0.9207312037252176,0.693508636395187,0.44638337849662335
39.0,4.573944283804156,0.3147993602508251,0.9686475178263257,0.9773176391224445,92.56337154272924,14.529712767394885,742.0498945105475,0.914788857368999,0.6925236087120605,0.4454944623469127
40.0,4.5443393010675495,0.31346280103538515,0.9664813572896779,0.9757559288899306,92.11144252178366,14.497220359345167,742.0498945105475,0.9088678608177412,0.6915385810289341,0.4446069689210478
41.0,4.514840274012806,0.312124530602313,0.9643245630839347,0.9742016814412051,91.65951350083796,14.46486844625902,742.0498945105475,0.9029680554028702,0.6905535533458075,0.44372089140954385
42.0,4.485446417844049,0.31078454566315616,0.9621770624132213,0.9726548375289292,91.20758447989238,14.43265593619832,742.0498945105475,0.8970892841652104,0.689568525662681,0.4428362230570628
43.0,4.456156956192752,0.3094428429210296,0.9600387832807777,0.9711153385621936,90.75565545894679,14.400581749211666,742.0498945105475,0.8912313918310566,0.6885834979795544,0.4419529571618128
44.0,4.426971121000198,0.30809941907059096,0.9579096544776674,0.9695831265971969,90.3037264380012,14.368644817165011,742.0498945105475,0.8853942247886653,0.687598470296428,0.44107108707495546
45.0,4.3978881524019275,0.3067542707980114,0.9557896055716875,0.9680581443280859,89.85179741705551,14.336844083575311,742.0498945105475,0.8795776310651442,0.6866134426133015,0.44019060620002226
46.0,4.368907298614186,0.3054073947809506,0.9536785668964622,0.9665403350779533,89.39986839610992,14.305178503446934,742.0498945105475,0.8737814603037424,0.685628414930175,0.43931150799233887
47.0,4.340027815822233,0.30405878768852734,0.9515764695407263,0.9650296427899905,88.94793937516434,14.273647043110895,742.0498945105475,0.8680055637415119,0.6846433872470484,0.4384337859584575
48.0,4.3112489680706165,0.30270844618129217,0.9494832453377947,0.9635260120187915,88.49601035421864,14.24224868006692,742.0498945105475,0.8622497941873621,0.683658359563922,0.4375574336555971
49.0,4.2825700271552885,0.3013563669112026,0.9473988268552024,0.9620293879218065,88.04408133327306,14.210982402828035,742.0498945105475,0.8565140060004832,0.6826733318807954,0.4366824446910921
50.0,4.2539902725174725,0.3000025465215912,0.9453231473845313,0.9605397162509396,87.59215231232741,14.179847210767969,742.0498945105475,0.85079805506912,0.6816883041976689,0.4358088127218477
51.0,4.2255089911394,0.2986469816471411,0.9432561409314015,0.9590569433442904,87.14022329138177,14.148842113971023,742.0498945105475,0.8451017987897186,0.6807032765145424,0.4349365314538043
52.0,4.197125477441735,0.29728966891385694,0.9411977422056332,0.9575810161180347,86.68829427043613,14.117966133084499,742.0498945105475,0.8394250960464115,0.679718248831416,0.43406559464140715
53.0,4.1688390331827305,0.29593060493903656,0.9391478866115782,0.9561118820584427,86.23636524949055,14.087218299173673,742.0498945105475,0.8337678071908495,0.6787332211482894,0.43319599608708603
54.0,4.140648967359041,0.2945697863312432,0.9371065102386047,0.9546494892140309,85.78443622854485,14.05659765357907,742.0498945105475,0.8281297940223635,0.6777481934651629,0.43232772964073973
55.0,4.1125545961082315,0.29320720969027814,0.9350735498517522,0.9531937861878463,85.33250720759926,14.026103247776282,742.0498945105475,0.822510919768466,0.6767631657820363,0.4314607891992289
